,uuid,cards url,img_url
0,7c6f0612-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7105402415821197312?filter=6268417501073629186,https://images2.dwell.com/photos/6272473203005894656/7105402415821197312/original.jpg
1,7c6f0613-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7102011819491790848?filter=6268417501073629186,https://images2.dwell.com/photos/6133431940611203072/7102011819491790848/original.jpg
2,7c6f0614-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7094703993429786624?filter=6268417501073629186,https://images2.dwell.com/photos/6567211874477248512/7094703993429786624/original.jpg
3,7c6f0615-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7094703991405916160?filter=6268417501073629186,https://images2.dwell.com/photos/6567211874477248512/7094703991405916160/original.jpg
4,7c6f0616-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7086783755418337280?filter=6268417501073629186,https://images2.dwell.com/photos/6272473203005894656/7086783755418337280/original.jpg
5,7c6f0617-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7085346324401074176?filter=6268417501073629186,https://images2.dwell.com/photos/6696836461368389632/7085346324401074176/original.jpg
6,7c6f0618-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/6174303650808807424?filter=6268417501073629186,https://images2.dwell.com/photos/6112627251147177984/6174303650808807424/original.jpg
7,7c6f0619-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7071936768522846208?filter=6268417501073629186,https://images2.dwell.com/photos/6645821216319606784/7071936768522846208/original.jpg
8,7c6f061a-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7071727278591193088?filter=6268417501073629186,https://images2.dwell.com/photos/6133527995429490688/7071727278591193088/original.jpg
9,7c6f061b-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7075243280175865856?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/7075243280175865856/original.jpg
10,7c6f061c-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7075238244319244288?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/7075238244319244288/original.jpg
11,7c6f061d-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7071649823015596032?filter=6268417501073629186,https://images2.dwell.com/photos/6604448812773617664/7071649823015596032/original.jpg
12,7c6f061e-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7063928945356451840?filter=6268417501073629186,https://images2.dwell.com/photos/6818593201364905984/7063928945356451840/original.jpg
13,7c6f061f-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7042241557713154048?filter=6268417501073629186,https://images2.dwell.com/photos/6818593201364905984/7042241557713154048/original.jpg
14,7c6f0620-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7046563328369569792?filter=6268417501073629186,https://images2.dwell.com/photos/6539515315049381888/7046563328369569792/original.jpg
15,7c6f0621-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7041873528888602624?filter=6268417501073629186,https://images2.dwell.com/photos/6696836461368389632/7041873528888602624/original.jpg
16,7c6f0622-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7040087585203146752?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/7040087585203146752/original.jpg
17,7c6f0623-6353-11ee-a8f8-b7faa03e0624,https://www.dwell.com/browse/photos/7034201400465309696?filter=6268417501073629186,https://images2.dwell.com/photos/6818593201364905984/7034201400465309696/original.jpg
