uuid, card_link, img_url
0ae8b444-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6461509398172631040?filter=6268417501073629186,https://images2.dwell.com/photos/6191803854900514816/6461509398172631040/original.jpg
0ae8b445-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6466433585611632640?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6466433585611632640/original.jpg
0ae8b446-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6463008136938045440?filter=6268417501073629186,https://images2.dwell.com/photos/6191803854900514816/6463008136938045440/original.jpg
0ae8b447-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6352276053850419200?filter=6268417501073629186,https://images2.dwell.com/photos/6257978536063737856/6352276053850419200/original.jpg
0ae8b448-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6133433987252490240?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133433987252490240/original.jpg
0ae8b449-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6409784627319398400?filter=6268417501073629186,https://images2.dwell.com/photos/6280078241191022592/6409784627319398400/original.jpg
0ae8b44a-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6453496245696180224?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6453496245696180224/original.jpg
0ae8b44b-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6429103476559790080?filter=6268417501073629186,https://images2.dwell.com/photos/6133431940611203072/6429103476559790080/original.jpg
0ae8b44c-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6343682666444996608?filter=6268417501073629186,https://images2.dwell.com/photos/6139220396386897920/6343682666444996608/original.jpg
0ae8b44d-6384-11ee-ac3c-eb4c2a8abaa4,https://www.dwell.com/browse/photos/6395341552893403136?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6395341552893403136/original.jpg
