id, card_link, img_url
7d19a45e-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6473673092015669248?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6473673092015669248/original.jpg
7d19a45f-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6476155424751779840?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6476155424751779840/original.jpg
7d19a460-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6476155427196678144?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6476155427196678144/original.jpg
7d19a461-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6476155448793149440?filter=6268417501073629186,https://images2.dwell.com/photos/6133553759298379776/6476155448793149440/original.jpg
7d19a462-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6298989323615965184?filter=6268417501073629186,https://images2.dwell.com/photos/6272473203005894656/6298989323615965184/original.jpg
7d19a463-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6298989324139646976?filter=6268417501073629186,https://images2.dwell.com/photos/6272473203005894656/6298989324139646976/original.jpg
7d19a464-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6341447150362820608?filter=6268417501073629186,https://images2.dwell.com/photos/6133435856926433280/6341447150362820608/original.jpg
7d19a465-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6341447149591068672?filter=6268417501073629186,https://images2.dwell.com/photos/6133435856926433280/6341447149591068672/original.jpg
7d19a466-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6472668473198247936?filter=6268417501073629186,https://images2.dwell.com/photos/6242537032151076864/6472668473198247936/original.jpg
7d19a467-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6475645311198281728?filter=6268417501073629186,https://images2.dwell.com/photos/6191803854900514816/6475645311198281728/original.jpg
7d19a468-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6291142834986315776?filter=6268417501073629186,https://images2.dwell.com/photos/6242537032151076864/6291142834986315776/original.jpg
7d19a469-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6245026217382719488?filter=6268417501073629186,https://images2.dwell.com/photos/6110512577102479360/6245026217382719488/original.jpg
7d19a46a-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6245026141754720256?filter=6268417501073629186,https://images2.dwell.com/photos/6110512577102479360/6245026141754720256/original.jpg
7d19a46b-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6245025587750248448?filter=6268417501073629186,https://images2.dwell.com/photos/6110512577102479360/6245025587750248448/original.jpg
7d19a46c-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6301127312500412416?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6301127312500412416/original.jpg
7d19a46d-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6133454277361623040?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133454277361623040/original.jpg
7d19a46e-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6133434996435587072?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133434996435587072/original.jpg
7d19a46f-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6133447575862009856?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133447575862009856/original.jpg
7d19a470-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6133570225867325440?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133570225867325440/original.jpg
7d19a471-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6133447563404926976?filter=6268417501073629186,https://images2.dwell.com/photos/6063391372700811264/6133447563404926976/original.jpg
7d19a472-667e-11ee-b117-2d388b0289c4,https://www.dwell.com/browse/photos/6273665055298396160?filter=6268417501073629186,https://images2.dwell.com/photos/6138941323646095360/6273665055298396160/original.jpg
