,uuid,Cards url, img_url,Title
823,ad87baa1-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-topanga-4-piece-eastern-king-velvet-upholstered-bedroom-set-with-pierce-espresso-dresser-mirror-3-drawer-nightstand-285530,https://www.livingspaces.com/globalassets/productassets/200000-299999/280000-289999/285000-285999/285500-285599/285530/285530_grey_fabric_bedroom_set_signature_01.jpg,"Topanga Grey King Velvet Upholstered 4 Piece Bedroom Set With Pierce Espresso Dresser, Mirror + 3-Drawer Nightstand"
824,ad87baa2-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-rylee-eastern-king-upholstered-panel-3-piece-bedroom-set-with-cassie-dresser-nightstand-308521,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308500-308599/308521/308521_grey_fabric_bedroom_set_signature_01.jpg,Rylee King Upholstered Panel 3 Piece Bedroom Set With Cassie Dresser + Nightstand
825,ad87baa3-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-topanga-4-piece-california-king-velvet-upholstered-bedroom-set-with-pierce-espresso-dresser-mirror-3-drawer-nightstand-285490,https://www.livingspaces.com/globalassets/productassets/200000-299999/280000-289999/285000-285999/285400-285499/285490/285490_grey_fabric_bedroom_set_signature_01.jpg,"Topanga Grey California King Velvet Upholstered 4 Piece Bedroom Set With Pierce Espresso Dresser, Mirror + 3-Drawer Nightstand"
826,ad87baa4-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-reagan-ii-dew-king-3-piece-bedroom-set-with-2-3-drawer-nightstands-322244,https://www.livingspaces.com/globalassets/productassets/300000-399999/320000-329999/322000-322999/322200-322299/322244/322244_grey_wood_bedroom_set_signature_01.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/320000-329999/322000-322999/322200-322299/322244/322244_grey_wood_bedroom_set_detail_44.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/320000-329999/322000-322999/322200-322299/322244/322244_grey_wood_bedroom_set_detail_45.jpg,Reagan Dew II King 3 Piece Bedroom Set With 2 3 Drawer Nightstands
827,ad87baa5-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-allen-california-king-panel-4-piece-bedroom-set-252945,https://www.livingspaces.com/globalassets/productassets/200000-299999/250000-259999/252000-252999/252900-252999/252945/252945_grey_wood_bedroom_set_signature_01.jpg|||https://z2photorankmedia-a.akamaihd.net/media/5/v/7/5v7b5v4/thumbnail.jpg,Allen California King Panel 4 Piece Bedroom Set
828,ad87baa6-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-mariah-5-piece-california-king-velvet-upholstered-bedroom-set-with-wade-dresser-mirror-bachelors-chest-nightstand-291217,https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291200-291299/291217/291217_beige_fabric_bedroom_set_signature_01.jpg,"Mariah California King Velvet Upholstered 5 Piece Bedroom Set With Wade Dresser, Mirror, Bachelors Chest + Nightstand"
829,ad87baa7-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-mariah-4-piece-queen-velvet-upholstered-bedroom-set-with-kincaid-dresser-mirror-2-drawer-nightstand-291308,https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291300-291399/291308/291308_beige_fabric_bedroom_set_signature_01.jpg,"Mariah Queen Velvet Upholstered 4 Piece Bedroom Set With Kincaid Dresser, Mirror + 2-Drawer Nightstand"
830,ad87baa8-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-rylee-california-king-upholstered-panel-3-piece-bedroom-set-with-finley-chest-of-drawers-nightstand-308507,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308500-308599/308507/308507_grey_fabric_bedroom_set_signature_01.jpg,Rylee California King Upholstered Panel 3 Piece Bedroom Set With Finley Chest Of Drawers + Nightstand
831,ad87baa9-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-pierce-natural-queen-panel-4-piece-bedroom-set-with-1-drawer-nightstand-305308,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/305000-305999/305300-305399/305308/305308_signature_01.jpg,Pierce Natural Queen Panel 4 Piece Bedroom Set With 1-Drawer Nightstand
832,ad87baaa-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-boswell-4-piece-eastern-king-velvet-upholstered-bedroom-set-with-pierce-natural-dresser-mirror-3-drawer-nightstand-285345,https://www.livingspaces.com/globalassets/productassets/200000-299999/280000-289999/285000-285999/285300-285399/285345/285345_grey_fabric_bedroom_set_signature_01.jpg,"Boswell King Upholstered 4 Piece Bedroom Set With Pierce Natural Dresser, Mirror + 3-Drawer Nightstand"
833,ad87baab-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-gustav-queen-3-piece-bedroom-set-with-nightstand-armoire-by-nate-burkus-and-jeremiah-brent-297644,https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/297000-297999/297600-297699/297644/297644_brown_wood_bedroom_set_signature_01.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/297000-297999/297600-297699/297644/297644_brown_wood_bedroom_set_detail_44.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/297000-297999/297600-297699/297644/297644_brown_wood_bedroom_set_detail_45.jpg,Gustav Queen 3 Piece Bedroom Set With Nightstand + Armoire By Nate Berkus + Jeremiah Brent
834,ad87baac-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-rylee-california-king-upholstered-panel-3-piece-bedroom-set-with-finley-dresser-nightstand-308508,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308500-308599/308508/308508_grey_fabric_bedroom_set_signature_01.jpg,Rylee California King Upholstered Panel 3 Piece Bedroom Set With Finley Dresser + Nightstand
835,ad87baad-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-mariah-4-piece-eastern-king-velvet-upholstered-bedroom-set-with-kincaid-dresser-mirror-2-drawer-nightstand-291259,https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291200-291299/291259/291259_beige_fabric_bedroom_set_signature_01.jpg,"Mariah King Velvet Upholstered 4 Piece Bedroom Set With Kincaid Dresser, Mirror + 2-Drawer Nightstand"
836,ad87baae-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-sophia-ii-5-piece-queen-upholstered-panel-bedroom-set-with-kincaid-dresser-mirror-wardrobe-open-nightstand-291917,https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_signature_01.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_44.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_45.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_46.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_47.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_48.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_49.jpg|||https://www.livingspaces.com/globalassets/productassets/200000-299999/290000-299999/291000-291999/291900-291999/291917/291917_beige_fabric_bedroom_set_detail_50.jpg,"Sophia II Queen Upholstered Panel 5 Piece Bedroom Set With Kincaid Dresser, Mirror, Wardrobe + Open Nightstand"
837,ad87baaf-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-mariah-queen-velvet-upholstered-panel-3-piece-bedroom-set-with-2-deliah-3-drawer-nightstands-308444,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308400-308499/308444/308444_beige_fabric_bedroom_set_signature_01.jpg,Mariah Queen Velvet Upholstered Panel 3 Piece Bedroom Set With 2 Deliah 3-Drawer Nightstands
838,ad87bab0-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-dean-sand-twin-upholstered-panel-3-piece-bedroom-set-with-morgan-chest-of-drawers-nightstand-308875,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308800-308899/308875/308875_beige_fabric_bedroom_set_signature_01.jpg,Dean Sand Twin Upholstered Panel 3 Piece Bedroom Set With Morgan Chest Of Drawers + Nightstand
839,ad87bab1-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-dean-sand-twin-upholstered-panel-3-piece-bedroom-set-with-2-morgan-nightstands-308861,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308800-308899/308861/308861_beige_fabric_bedroom_set_signature_01.jpg,Dean Sand Twin Upholstered Panel 3 Piece Bedroom Set With 2 Morgan Nightstands
840,ad87bab2-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-kyrie-black-4-piece-twin-metal-bedroom-set-with-larkin-white-dresser-chest-of-drawers-nightstand-311082,https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_signature_01.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_44.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_45.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_46.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_47.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_48.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_49.jpg|||https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311082/311082_black_metal_bedroom_set_detail_50.jpg,"Kyrie Black Twin Metal 4 Piece Bedroom Set With Larkin White Dresser, Chest Of Drawers + Nightstand"
841,ad87bab3-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-pierce-natural-california-king-storage-3-piece-bedroom-set-with-1-drawer-nightstand-305331,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/305000-305999/305300-305399/305331/305331_natural_wood_bedroom_set_signature_01.jpg,Pierce Natural California King Storage 3 Piece Bedroom Set With 1-Drawer Nightstand
842,ad87bab4-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-jaxon-grey-3-piece-full-bedroom-set-with-2-open-nightstands-311032,https://www.livingspaces.com/globalassets/productassets/300000-399999/310000-319999/311000-311999/311000-311099/311032/311032_grey_wood_bedroom_set_signature_01.jpg,Jaxon Grey Full 3 Piece Bedroom Set With 2 Open Nightstands
843,ad87bab5-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-topanga-3-piece-queen-velvet-upholstered-bedroom-set-with-2-pierce-espresso-3-drawer-nightstands-285568,https://www.livingspaces.com/globalassets/productassets/200000-299999/280000-289999/285000-285999/285500-285599/285568/285568_grey_fabric_bedroom_set_signature_01.jpg,Topanga Grey Queen Velvet Upholstered 3 Piece Bedroom Set With 2 Pierce Espresso 3-Drawer Nightstands
844,ad87bab6-4d75-11ee-8757-436b6b56d852,https://www.livingspaces.com/pdp-topanga-grey-eastern-king-velvet-upholstered-panel-3-piece-bedroom-set-with-2-camila-nightstands-308668,https://www.livingspaces.com/globalassets/productassets/300000-399999/300000-309999/308000-308999/308600-308699/308668/308668_grey_fabric_bedroom_set_signature_01.jpg,Topanga Grey King Velvet Upholstered Panel 3 Piece Bedroom Set With 2 Camila Nightstands
